num,board,title,writer,upload_date,view,likes
813244,,초봉 2600 협회.. 가는게 나을까요..,익명,01/01,2954,38
813242,,곤플떡국,익명,01/01,2029,66
813203,,60년 존버중인 짤,익명,01/01,2433,87
813186,,수석 졸업하네,익명,01/01,5006,256
813172,,화장실 유기견 그 후.jpg(스압),익명,01/01,810,71
813168,,[나만의 맛집!] 신촌 정육면체,익명,01/01,2355,28
813167,,어떤 부자들은 자녀 수시전형 경쟁력 기르려고 특허출원 시키고 그랬었음,익명,01/01,2725,93
813164,,미쳐버린 유튜브 알고리즘.jpg,익명,01/01,2259,64
813161,,2020년 방송사고 1초전.jpg,익명,01/01,2502,50
813150,,새해 첫 시작으로 기부해써◟( ˘ ³˘)◞ ♡,익명,01/01,1903,101
813148,,2019 9전공 올 에이쁠,익명,01/01,2413,50
813138,,야 올해 몇년이냐?,익명,01/01,2358,137
813137,,야 올해 몇년이냐?,익명,01/01,1090,49
813127,,내가 아무리 쿨해도 이건 좀 심하지않니?,익명,01/01,2935,64
813126,,"진이뽀의 10년 전과 현재(비포,애프터)",익명,01/01,2264,82
813123,,내가 예민한걸까,익명,01/01,1536,39
813121,,5252  다미쿤!!,익명,01/01,789,33
813119,,속보) 영문11 김형진 30대 돌입...,익명,01/01,2922,157
813102,,올 해 행시붙자~~~~~,익명,01/01,561,31
813087,,2020년도 제 55회 한국공인회계사 합격자는,익명,01/01,2675,142
813081,,새해맞이 연게 첫글,익명,01/01,789,35
813062,,올해는 행시합격한다,익명,01/01,1185,86
813058,,??? : 야 올해가 몇년이냐?,익명,01/01,1986,127
813047,,2020년 서강의 첫 모습,익명,01/01,1944,101
813032,,2020년 파이팅!!,익명,01/01,1375,168
812931,,21학점 올에이쁠 받았다!!ㅠㅠㅠㅠㅠ,익명,12/31,2945,149
812928,후기,"2019년 하반기 경영 여학우 취업후기(롯데컬처웍스, 신세계인터내셔날 등)",익명,12/31,3314,53
812905,,인기글 보니까 로스쿨 좋은 얘기는 꺼내지도 말아야 할 것같네,익명,12/31,2050,100
812887,,서초1동 공익근무요원 자살사건.jpg(약스),익명,12/31,1972,92
812841,,속도위반레전드,익명,12/31,1541,37
812791,,"2020년을 맞이하여 피자 열판을 쏘겠읍니다,,!!",익명,12/31,3063,199
813749,,엄마 어제 투표했다,익명,01/02,2388,158
813734,,중학교땐가 1월1일날 친구랑 웃으면서 횡단보도신호 기다리고 있었는데,익명,01/02,2576,96
813728,,비행기값 아끼려다 진짜 되질뻔,익명,01/02,3620,167
813722,,KBS 2020 한국 사회 신뢰도,익명,01/02,2693,131
813705,,벤위레의 새해 목표,익명,01/01,1811,78
813692,,나의 미루기 습관은 새해에도 계속되는군,익명,01/01,562,34
813683,,ㅋㅋㅋ나도 인스타 보다가 현타온거,익명,01/01,2270,50
813677,,20대때는 잘 몰랐는데 30대 오니까,익명,01/01,1943,61
813642,,당분간 우리가 할 실수.gif,익명,01/01,2402,85
813635,,늦게 빛 본 스타들의 말말말,익명,01/01,1469,57
813632,,응답하라 1994시절 뭔가 낭만적임.,익명,01/01,1114,39
813631,,이 뭔 개소리야 짤의 주인공 장항선 근황,익명,01/01,1208,49
813570,,"신년기념>10~15년 전 어느 날의 서강대(상편,데이터주의)",익명,01/01,2763,159
813550,,와 오늘 동생 1년동안 교환갔다,익명,01/01,3061,114
813517,,부전자전,익명,01/01,806,41
813510,,2년제 인생.jpg,익명,01/01,3819,138
813498,,괴데이진호피셜) 서강대 = SKY,익명,01/01,3643,107
813469,,이번주 그알 음원사재기 예고.jpg,익명,01/01,2506,156
813468,,정기후원 끊은 이유.jpg,익명,01/01,3201,130
813455,,대기업 무단퇴사하면 어떻게 되나요?,익명,01/01,1319,29
813445,,???:쁠몰은 싫은데요!,익명,01/01,3442,115
813429,,악질 군대 부사관 정의구현된 썰,익명,01/01,737,43
813421,,펭수 무서운 다미 있니?,익명,01/01,1121,41
813393,,혹시 펭수 관심없는 사람 있니??,익명,01/01,2696,129
813372,,어제 섹스햇음..,익명,01/01,3868,87
813342,,고려대 학점 퍼주는 것과 관련한 로스쿨 입시,익명,01/01,3203,108
813298,,아빠의 재롱,익명,01/01,804,34
813288,,서울 택시!묻지 말고 타세요!.jpg,익명,01/01,2659,89
813279,,sbs연기대상으로 싱글벙글한 야나두 사장님,익명,01/01,3445,170
813271,,한국판 괴벨스.jpg,익명,01/01,2284,57
813270,,지하철 공익 숙직실.jpg,익명,01/01,2515,114
813265,,HTML코딩 그거 그냥 쓱쓱 그리면 되는거 아니냐,익명,01/01,2005,93
813257,,딘스라는게 실제로 존재하는거야?,익명,01/01,2258,83
814227,,너넨 유우럽 겨울에 가지마라...,익명,01/02,2543,58
814223,,잘나가는 스트리머의 마음가짐,익명,01/02,3034,146
814207,뻘글,근디 막 sns보면서 현타오는 사람들은,익명,01/02,2762,105
814176,,보쌈 먹는 도중에 가격 인상됨,익명,01/02,2600,55
814169,,미친 가격의 삼겹살집.jpg,익명,01/02,2368,62
814130,,난 그여자가 나한테 왜그랬을지 궁금,익명,01/02,2876,59
814095,,일본 연예계 근황 ㅋㅋㅋㅋ,익명,01/02,3989,166
814069,,야채 안먹는 손님이 섭섭한 사장님,익명,01/02,2639,82
814042,,주류회사에서 일하는데 대학교 차이 심각하다ㅋㅋㅋㅋ,익명,01/02,3715,96
814013,,마스크 공익 인터뷰.,익명,01/02,2590,84
814006,,아빠와 아들관계는 참 어렵다,익명,01/02,2812,124
813972,,김희철 열애설로 가장 멘붕된....,익명,01/02,4036,75
813961,,골목식당 코다리찜.jpg,익명,01/02,1918,69
813926,,서담은 점점 이미지가 좋아지네,익명,01/02,1228,27
813922,,펌) 치트키써서 결혼한 강호동,익명,01/02,3260,239
813904,,연락 몇년 끊겼던 친구가 상황이 너무 안좋아졌더라,익명,01/02,2942,177
813892,,[나만의맛집!] 개골목 충화반점 솔직리뷰,익명,01/02,1861,31
813872,,롤을 이해한 김구라,익명,01/02,2752,111
813870,,안도의 한숨을 쉬고있는 모모팬,익명,01/02,2878,66
813865,,엄마 때문에 눈물나..,익명,01/02,2972,227
813862,,할아버지가 나에게 알려준 것 중 가장 유용한 것,익명,01/02,2801,153
813835,,주미시 늦게올라온 이유,익명,01/02,2112,82
813814,,"심각,어이×)앞으로 우리나라는 csi같은 짓을 잘 하지 못하게됨",익명,01/02,2160,52
813806,,아오 남친 진짜 여행 당일까지 늦잠자느라 못나옴,익명,01/02,2504,52
813800,,첫 출근길,익명,01/02,1811,94
813798,,"슈퍼주니어 김희철♥트와이스 모모, 열애 인정 ""친한 선후배에서 최근 호감""[공식입장]",익명,01/02,3512,80
813775,,취뽀했다!,익명,01/02,2711,188
813753,,"어떻게 하면 행복하게, 가치있게, 의미있게 살 수 있을까",익명,01/02,811,33
814741,,낯선곳에서 만난 익숙한 얼굴,익명,01/03,1472,38
814707,,고아로 살겠다는 삼형제,익명,01/03,1411,44
814703,,집앞에 담배피는 애들 혼내주기,익명,01/03,2681,125
814699,,최근 회사 다니는 마음가짐을 바꿨어.,익명,01/03,3522,169
814671,,미국의 음주운전 판결,익명,01/03,2495,137
814627,쉐복,엠마오로 공차는 초중딩들,익명,01/03,3973,152
814621,,빅뱅 top은 연예인 그만둔다메,익명,01/03,3481,78
814609,,믿을 수 없는 장면,익명,01/03,2836,54
814601,,어메이징 멕시코 교도소,익명,01/03,2018,74
814579,,박보영 김희원도 열애설 떴네,익명,01/03,2406,68
814556,,극악의 96년도 국가고시,익명,01/03,2406,70
814548,,부산에 사는 여성들을 두려움에 떨게 한 사람,익명,01/03,2272,71
814545,,하버드 수석 졸업.jpg,익명,01/03,3524,132
814539,,공익 레전드,익명,01/03,1221,31
814532,,재모식당 아줌마랑 구청 직원 싸움 ㄷㄷ,익명,01/03,3847,89
814529,,회사에서 여우처럼 살아서 사랑받는 중,익명,01/03,3807,239
814526,,어릴때 친구 괴롭히면 안되는 이유.gif,익명,01/03,2430,108
814509,,집사... 자?,익명,01/03,1803,78
814480,,난 왜 무식한 사람하고는 말싸움을 못하겠지...,익명,01/03,1688,60
814464,,차단이 무서운 디씨인,익명,01/03,2833,86
814455,,부산 여대 실시간 16학번 꼰대짓,익명,01/03,3564,87
814415,,노잼봇 근황.jpg,익명,01/03,3674,108
814396,,아빠땜에 언니랑 나랑 빵터짐 ㅋㅋㅋ,익명,01/03,2964,124
